gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,ChurnProbability,CustomerSegment
0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,1,2,29.85,2505,0,0.5531629334504947,Dormant
1,0,0,0,34,1,0,0,2,0,2,0,0,0,1,0,3,56.95,1466,0,0.051974985404807134,Loyal
1,0,0,0,2,1,0,0,2,2,0,0,0,0,0,1,3,53.85,157,1,0.2576931420004133,Loyal
1,0,0,0,45,0,1,0,2,0,2,2,0,0,1,0,0,42.3,1400,0,0.038443251128692284,Loyal
0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,70.7,925,1,0.6285545945429126,Dormant
0,0,0,0,8,1,2,1,0,0,2,0,2,2,0,1,2,99.65,6104,1,0.8203303406792634,At Risk
1,0,0,1,22,1,2,1,0,2,0,0,2,0,0,1,1,89.1,1550,0,0.4887581591822257,Dormant
0,0,0,0,10,0,1,0,2,0,0,0,0,0,0,0,3,29.75,2609,0,0.3287608410153975,Dormant
0,0,1,0,28,1,2,1,0,0,2,2,2,2,0,1,2,104.8,2646,1,0.591865376944735,Dormant
1,0,0,1,62,1,0,0,2,2,0,0,0,0,1,0,0,56.15,3022,0,0.013346163305839686,Loyal
1,0,1,1,13,1,0,0,2,0,0,0,0,0,0,1,3,49.95,4823,0,0.24637771299500422,Loyal
1,0,0,0,16,1,0,2,1,1,1,1,1,1,2,0,1,18.95,2836,0,0.02786551202446149,Loyal
1,0,1,0,58,1,2,1,0,0,2,0,2,2,1,0,1,100.35,4693,0,0.2080733971744384,Loyal
1,0,0,0,49,1,2,1,0,2,2,0,2,2,0,1,0,103.7,4265,1,0.42274811291475034,Dormant
1,0,0,0,25,1,0,1,2,0,2,2,2,2,0,1,2,105.5,2337,0,0.4048742858244928,Dormant
0,0,1,1,69,1,2,1,2,2,2,2,2,2,2,0,1,113.25,5959,0,0.02938534039703364,Loyal
0,0,0,0,52,1,0,2,1,1,1,1,1,1,1,0,3,20.65,46,0,0.018577123724368948,Loyal
1,0,0,1,71,1,2,1,2,0,2,0,2,2,2,0,0,106.7,5704,0,0.03998162467175873,Loyal
0,0,1,1,10,1,0,0,0,0,2,2,0,0,0,0,1,55.2,4416,1,0.2045237283588649,Loyal
0,0,0,0,21,1,0,1,0,2,2,0,0,2,0,1,2,90.05,1433,0,0.5281528297560174,Dormant
1,1,0,0,1,0,1,0,0,0,2,0,0,2,0,1,2,39.65,3340,1,0.6917407138861733,Dormant
1,0,1,0,12,1,0,2,1,1,1,1,1,1,1,0,0,19.8,1651,0,0.06185275756424118,Loyal
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.15,1609,1,0.18344576238101576,Loyal
0,0,1,0,58,1,2,0,0,2,0,2,0,0,2,1,1,59.9,3041,0,0.021181173631647,Loyal
1,0,1,1,49,1,0,0,2,2,0,2,0,0,0,0,1,59.6,2567,0,0.03178215269443475,Loyal
0,0,0,0,30,1,0,0,2,2,0,0,0,0,0,1,0,55.3,959,0,0.11434809774333185,Loyal
1,0,1,1,47,1,2,1,0,2,0,0,2,2,0,1,2,99.35,4019,1,0.43920116277731824,Dormant
1,0,1,1,1,0,1,0,0,2,0,0,0,0,0,0,2,30.2,2592,1,0.41155136160370415,Dormant
1,0,1,0,72,1,2,0,2,2,2,2,2,2,2,1,1,90.25,5135,0,0.01733289124203337,Loyal
0,0,0,1,17,1,0,0,0,0,0,0,2,2,0,1,3,64.7,184,1,0.3808688708380779,Dormant
